,zpid,price,beds,baths,area,zipcode,city,state,homeType,pricePerSQFT
2282,15073712,739000,1.0,1.0,843.0,94109,San Francisco,CA,CONDO,877
2283,2073247829,1200000,5.0,3.0,2562.0,94122,San Francisco,CA,MULTI_FAMILY,468
2284,15160943,3988000,4.0,4.0,3280.0,94110,San Francisco,CA,SINGLE_FAMILY,1216
2285,80745078,849000,3.0,3.0,1296.0,94103,San Francisco,CA,CONDO,655
2286,96040110,1250000,2.0,2.0,1030.0,94115,San Francisco,CA,CONDO,1214
2287,2057602786,895000,1.0,1.0,732.0,94114,San Francisco,CA,CONDO,1223
2288,69819744,548000,1.0,1.0,556.0,94107,San Francisco,CA,CONDO,986
2289,15095958,899000,2.0,2.0,1152.0,94121,San Francisco,CA,CONDO,780
2290,15071590,790000,1.0,1.0,840.0,94109,San Francisco,CA,CONDO,940
2292,2064189792,1399000,4.0,2.0,2360.0,94121,San Francisco,CA,MULTI_FAMILY,593
2293,15168843,1495000,3.0,3.0,2055.0,94134,San Francisco,CA,SINGLE_FAMILY,727
2294,15096531,1349000,3.0,2.0,1295.0,94121,San Francisco,CA,CONDO,1042
2295,15083742,1290000,2.0,2.0,994.0,94115,San Francisco,CA,SINGLE_FAMILY,1298
2296,15132625,865000,2.0,2.0,1144.0,94131,San Francisco,CA,CONDO,756
2298,15196026,998800,3.0,2.0,1530.0,94112,San Francisco,CA,SINGLE_FAMILY,653
2299,15127262,2995000,3.0,3.0,2594.0,94114,San Francisco,CA,SINGLE_FAMILY,1155
2301,2072220394,9500000,6.0,4.0,5800.0,94109,San Francisco,CA,SINGLE_FAMILY,1638
